town,category,subcategory,amount,pdf_url,pdf_page,notes
Reading,Education,U99 School Department,58491591,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Education,E99 Education-Vocational,1317435,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Education,TOTAL,59808591,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,U99 + E99 (note: E99 listed as $1317435 in source data)
Reading,Public Safety,J91 Public Safety Wages,14277839,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Safety,J92 Public Safety Expenses,792208,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Safety,TOTAL,15070047,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,J91 + J92
Reading,Public Works,K91 Public Works Wages,3375650,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Works,K92 Public Works Expenses,1048135,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Works,K93 Snow & Ice,675000,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Works,K94 Street Lights,135000,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Works,K95 Rubbish,2200041,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,Public Works,TOTAL,7433826,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,K91+K92+K93+K94+K95
Reading,Health Insurance,B7 Group Health/Life Insurance,15110654,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,From B99 Benefits breakdown
Reading,Health Insurance,TOTAL,15110654,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,B7 only
Reading,Pension/Retirement,B1 Contributory Retirement,7763648,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,From B99 Benefits breakdown
Reading,Pension/Retirement,TOTAL,7763648,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,B1 only
Reading,Debt Service,D99 Debt Service,3051975,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,Inside levy; excluded debt $0 in FY26
Reading,Debt Service,TOTAL,3051975,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,19,D99 total
Reading,General Government,G91 Admin Svcs Wages,1266300,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,General Government,G92 Admin Svcs Expenses,1685468,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,General Government,I91 Finance Wages,1123600,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
Reading,General Government,I92 Finance Expenses,151600,https://www.readingma.gov/DocumentCenter/View/16813/Fiscal-Year-2026-Budget---Town--Schools-PDF,20,FY26 Finance Committee recommended
