town,category,subcategory,amount,pdf_url,pdf_page,notes
Stoneham,General Government,114 Moderator - Elected Salary,200,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,114 Moderator - Expenses,200,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,114 Moderator - TOTAL,400,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Full-Time Salaries,90223,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Elected Official Salaries,15000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Total Salaries,105223,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Advertising,7000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Printing Services,2600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Other Purchased Services,3000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Office Supplies,750,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - In State Travel,750,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - Total Expenses,14100,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,122 Select Board - TOTAL,119323,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Full-Time Salaries,398594,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Part-Time Salaries,68797,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Total Salaries,467391,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Professional Services,6150,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Medical Services,8000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Advertising,2500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Printing Services,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Office Supplies,4000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - In State Travel,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Dues & Subscriptions,3000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - Total Expenses,26150,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,123 Town Administrator - TOTAL,493541,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,131 Finance & Advisory Board - Dues & Subscriptions,500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,131 Finance & Advisory Board - TOTAL,500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,132 Reserve Fund - Expenses,125000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,132 Reserve Fund - TOTAL,125000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Full-Time Salaries,239051,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Total Salaries,239051,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Education & Training,9000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Data Processing,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Office Supplies,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - In State Travel,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Dues & Subscriptions,1100,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Outside Services,34000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - Total Expenses,46600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,135 Town Accountant - TOTAL,285651,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,1,
Stoneham,General Government,138 Purchasing/Procurement - Full-Time Salaries,48581,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,138 Purchasing/Procurement - Education and Training,2000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,138 Purchasing/Procurement - TOTAL,50581,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Full-Time Salaries,149859,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Elected Salaries,3600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Total Salaries,153459,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Education & Training,3500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Data Processing,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Outside Services,39000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - In State Travel,3000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Dues & Subscriptions,3000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - Total Expenses,49500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,141 Assessors - TOTAL,202959,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Full-Time Salaries,302721,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Part-Time Salaries,82488,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Total Salaries,385209,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Repairs & Maintenance,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Legal Services,25000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Advertising,800,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Printing Services,6160,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Other Purchased Services,6720,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - In State Travel,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Dues & Subscriptions,1110,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - Total Expenses,42790,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,145 Treasurer/Collector - TOTAL,427999,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,151 Town Counsel - Contract Expense,110000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,151 Town Counsel - TOTAL,110000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Full-Time Salaries,223582,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Total Salaries,223582,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Computer Equipment Maintenance,239745,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Data Processing,6000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Telephones,7500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Cellphones,7000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Printing & Copying,7500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Data Processing Supplies,13000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - Total Expenses,280745,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,155 GIS/MIS - TOTAL,504327,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Full-Time Salaries,99448,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Ex-Officio,966,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Part Time Salaries,28500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Elected Salaries,96009,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Total Salaries,224923,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Repairs & Maintenance,6400,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Professional Services,1600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Printing Services,15000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Other Purchased Services,1100,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Office Supplies,2000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - In State Travel,500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Dues & Subscriptions,400,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - Total Expenses,27000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
Stoneham,General Government,161 Town Clerk - TOTAL,251923,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,2,
