town,category,subcategory,amount,pdf_url,pdf_page,notes
Wellesley,Education,Instruction,60077525,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,School Department instruction
Wellesley,Education,Administration,1611350,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,School Department administration
Wellesley,Education,Operations,4440788,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,School Department operations
Wellesley,Education,Special Education,27905363,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,School Department special education
Wellesley,Education,TOTAL,94035026,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,School total from Exhibit B
Wellesley,Public Safety,Police Department,8572381,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Safety,Fire Department,8090571,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,Fire-Rescue
Wellesley,Public Safety,Building Department,712771,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Safety,Special School Police,146172,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Safety,Sealer of Weights & Measures,19051,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Safety,TOTAL,17540946,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,Exhibit B Public Safety operating subtotal
Wellesley,Public Works,Engineering,427615,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,Highway,1388949,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,Fleet Maintenance,267561,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,Park,2208787,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,Recycling & Disposal,3245712,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,Management,453391,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,DPW management
Wellesley,Public Works,Winter Maintenance,390000,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,
Wellesley,Public Works,TOTAL,8382015,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,3,DPW operating total
Wellesley,Health Insurance,Group Insurance,25598232,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,Health dental life; 12.57% increase over FY25; includes one-time $1M correction
Wellesley,Health Insurance,TOTAL,25598232,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,
Wellesley,Pension/Retirement,Retirement/Pension Contribution,9310462,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,Based on actuarial schedule
Wellesley,Pension/Retirement,OPEB Liability Fund,3100000,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,1.4% of annual budget
Wellesley,Pension/Retirement,TOTAL,12410462,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,4,
Wellesley,Debt Service,Inside Levy Debt Service,3568406,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,5,
Wellesley,Debt Service,Outside Levy Debt Service,15693666,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,5,Primarily Hardy/Hunnewell school construction debt exclusions
Wellesley,Debt Service,TOTAL,19262072,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,5,
Wellesley,General Government,Executive Director,795884,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,SB Administration
Wellesley,General Government,Climate Action,175426,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,SB Administration
Wellesley,General Government,Central Administration,14600,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,SB Administration
Wellesley,General Government,Finance,578716,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,
Wellesley,General Government,Information Technology,1763605,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,
Wellesley,General Government,Treasurer/Collector,582390,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,
Wellesley,General Government,Town Report,2250,https://wellesleyma.gov/DocumentCenter/View/45243/Exhibit-B,2,
