town,category,subcategory,amount,pdf_url,pdf_page,notes
Woburn,General Government,City Council,136020.13,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,1,Line 1 Salary $124870.13 + Maintenance $11150.00
Woburn,General Government,Mayor,1095294.60,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,2,Line 2 Salary $990594.60 + Maintenance $104700.00
Woburn,General Government,Community Services,27000.00,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,3,Line 3 Maintenance $27000.00
Woburn,General Government,Auditor,624376.02,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,4,Line 4 Salary $476876.02 + Maintenance $147500.00
Woburn,General Government,Purchasing,195356.41,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,5,Line 5 Salary $191656.41 + Maintenance $3700.00
Woburn,General Government,Assessor,810465.57,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,6,Line 6 Salary $609115.57 + Maintenance $201350.00
Woburn,General Government,Treasurer/Collector,699246.24,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,7,Line 7 Salary $542546.24 + Maintenance $156700.00
Woburn,General Government,Law,266953.92,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,8,Line 8 Salary $199453.92 + Maintenance $67500.00
Woburn,General Government,Data Processing,976617.73,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,9,Line 9 Salary $341117.73 + Maintenance $635500.00
Woburn,General Government,City Clerk,412081.73,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,10,Line 10 Salary $402361.73 + Maintenance $9720.00 + Outlays $0.00
Woburn,General Government,Election & Req,148995.13,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,11,Line 11 Salary $100370.13 + Maintenance $48625.00 + Outlays $0.00
Woburn,General Government,License Commission,14000.00,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,12,Line 12 Salary $13500.00 + Maintenance $500.00
Woburn,General Government,Human Resources,216846.69,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,13,Line 13 Salary $202246.69 + Maintenance $14600.00
Woburn,General Government,Conservation,224859.64,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,14,Line 14 Salary $208259.64 + Maintenance $16600.00
Woburn,General Government,Planning Bd/Comm Devel,448267.45,https://woburnma.gov/wp-content/uploads/2024/02/FY2026-Submitted-Budget.xlsx.pdf,15,Line 15 Salary $399867.45 + Maintenance $48400.00
