department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
Overall Revenue Summary Fiscal Year 2026 Budget,,Total,204162955.0,2023,actual,total,arlington_fy2026_budget.pdf,31
Overall Revenue Summary Fiscal Year 2026 Budget,,Total,213984896.0,2024,actual,total,arlington_fy2026_budget.pdf,31
Overall Revenue Summary Fiscal Year 2026 Budget,,Total,219543935.0,2025,budget,total,arlington_fy2026_budget.pdf,31
Overall Revenue Summary Fiscal Year 2026 Budget,,Total,231632027.0,2026,budget,total,arlington_fy2026_budget.pdf,31
Fiscal Year 2026 Budget Local Receipts,,"1 00,000",5085462.0,2023,actual,line_item,arlington_fy2026_budget.pdf,39
Fiscal Year 2026 Budget Local Receipts,,"1 00,000",5841723.0,2024,actual,line_item,arlington_fy2026_budget.pdf,39
Fiscal Year 2026 Budget Local Receipts,,"1 00,000",4898450.0,2025,budget,line_item,arlington_fy2026_budget.pdf,39
Fiscal Year 2026 Budget Local Receipts,,"1 00,000",4998450.0,2026,budget,line_item,arlington_fy2026_budget.pdf,39
Fiscal Year 2026 Budget Local Receipts,,Other Department Fees,50100.0,2023,actual,line_item,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Other Department Fees,41000.0,2024,actual,line_item,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Other Department Fees,70000.0,2025,budget,line_item,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Other Department Fees,70000.0,2026,budget,line_item,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Total,1998429.0,2023,actual,total,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Total,2051567.0,2024,actual,total,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Total,1550000.0,2025,budget,total,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,Total,1600000.0,2026,budget,total,arlington_fy2026_budget.pdf,40
Fiscal Year 2026 Budget Local Receipts,,-,3388124.0,2023,actual,line_item,arlington_fy2026_budget.pdf,41
Fiscal Year 2026 Budget Local Receipts,,-,3957865.0,2024,actual,line_item,arlington_fy2026_budget.pdf,41
Fiscal Year 2026 Budget Local Receipts,,-,770000.0,2025,budget,line_item,arlington_fy2026_budget.pdf,41
Fiscal Year 2026 Budget Local Receipts,,-,770000.0,2026,budget,line_item,arlington_fy2026_budget.pdf,41
Fiscal Year 2026 Budget Local Receipts,,0,2668726.0,2023,actual,line_item,arlington_fy2026_budget.pdf,42
Fiscal Year 2026 Budget Local Receipts,,0,2854218.0,2024,actual,line_item,arlington_fy2026_budget.pdf,42
Fiscal Year 2026 Budget Local Receipts,,0,1725000.0,2025,budget,line_item,arlington_fy2026_budget.pdf,42
Fiscal Year 2026 Budget Local Receipts,,0,1725000.0,2026,budget,line_item,arlington_fy2026_budget.pdf,42
Fiscal Year 2026 Budget Local Receipts,,"78,000",76987.0,2023,actual,line_item,arlington_fy2026_budget.pdf,43
Fiscal Year 2026 Budget Local Receipts,,"78,000",73675.0,2024,actual,line_item,arlington_fy2026_budget.pdf,43
Fiscal Year 2026 Budget Local Receipts,,"78,000",73000.0,2025,budget,line_item,arlington_fy2026_budget.pdf,43
