department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
Budget Summary,,SELECT BOARD,1051520.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1111396.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1405290.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1434811.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1464811.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1464811.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1464811.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,SELECT BOARD,1464811.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1595525.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,833417.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,945563.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1077315.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1077315.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1077315.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1077315.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FINANCE,1077315.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,298612.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,294826.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,327137.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,350434.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,350384.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,350384.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,350384.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,BOARD OF ASSESSORS,350384.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,LEGAL SERVICES,200300.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1144129.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1221846.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1227000.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1227000.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1227000.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1227000.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"INFORMATION
TECHNOLOGY",1227000.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,282351.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,302483.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,347615.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,374926.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,338702.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,338702.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,338702.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CLERK,338702.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",73450.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",77000.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",29225.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",54675.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",54675.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",54675.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",54675.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,"ELECTIONS AND
REGISTRATIONS",54675.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3473616.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3506241.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3723014.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3894826.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3885061.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3885061.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3885061.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FACILITIES DEPARTMENT,3885061.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,4262565.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,4444061.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5471614.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5587665.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5587665.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5587665.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5744760.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,POLICE DEPARTMENT,5744760.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3535468.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3714611.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3724680.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3943675.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3789301.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3789301.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3789301.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,FIRE DEPARTMENT,3789301.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CENTER,120807.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CENTER,130621.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,TOWN CENTER,118807.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,650643.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,674882.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,733015.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,777293.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,777293.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,777293.0,2027,manager,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,778543.0,2027,fincom,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,CODE ENFORCEMENT,778543.0,2027,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,VOCATIONAL EDUCATION,1059598.0,2024,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,VOCATIONAL EDUCATION,1118000.0,2025,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,VOCATIONAL EDUCATION,1249018.0,2026,budget,line_item,bedford_fy2026_budget.pdf,16
Budget Summary,,VOCATIONAL EDUCATION,1249018.0,2027,request,line_item,bedford_fy2026_budget.pdf,16
