department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
Program Summary,Warrant Committee Reserve,"$— $500,000 $500,000 $— $500,000 $—",2450.0,2025,actual,line_item,belmont_fy2027_budget.pdf,11
Program Summary,Regional Schools,"$263,337 $234,580 $327,917",4200.0,2025,actual,line_item,belmont_fy2027_budget.pdf,12
Program Summary,Health Compensation,"$483,406",6300.0,2025,actual,line_item,belmont_fy2027_budget.pdf,12
Program Summary,Health Expenses,"$88,272 $64,583 $89,668 $(1,458) $88,210 $23,627",6300.0,2025,actual,line_item,belmont_fy2027_budget.pdf,13
Program Summary,"Community Services
Compensation",$—,6400.0,2025,actual,line_item,belmont_fy2027_budget.pdf,13
Program Summary,Community Services Expenses,$—,6400.0,2025,actual,line_item,belmont_fy2027_budget.pdf,13
Program Summary,Water Enterprise,"$7,651,162 $8,285,506 $8,427,214
$10,257,260 $10,763,237 $11,070,958",5250.0,2025,actual,line_item,belmont_fy2027_budget.pdf,14
Program Summary,Rock Meadow Maintenance,"$7,664",5215.0,2025,actual,line_item,belmont_fy2027_budget.pdf,14
Program Summary,"Solid Waste & Recycling Revolving
Fund","$— $85,000 $85,000
$15,000 $15,000 $15,000",5240.0,2025,actual,line_item,belmont_fy2027_budget.pdf,14
Program Summary,COA Revolving Fund,"$83,848 $150,000",6420.0,2025,actual,line_item,belmont_fy2027_budget.pdf,14
Program Summary,Field Maintenance Revolving Fund,"$60,000",6400.0,2025,actual,line_item,belmont_fy2027_budget.pdf,14
Historical New Growth Levels by Property Type ($ millions),Residential/Commercial/PP,$10.14,122311837.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Senior Center,$0.02,181611.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Underwood Pool,$0.02,207200.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Wellington School,$0.13,1514699.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Fire Station,$0.01,96798.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Belmont Middle & High,$0.94,10988462.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Public Library,$0.16,1980980.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Rink & Sports Facility,$0.13,1619716.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),Total Excluded Debt,$1.41,16589466.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),COMBINED TOTAL,$11.55,138901303.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,19
Historical New Growth Levels by Property Type ($ millions),,Chapter 70 - Education Unrestricted,11784535.0,2024,actual,line_item,belmont_fy2027_budget.pdf,20
Historical New Growth Levels by Property Type ($ millions),,Chapter 70 - Education Unrestricted,12254719.0,2025,actual,line_item,belmont_fy2027_budget.pdf,20
Historical New Growth Levels by Property Type ($ millions),,Chapter 70 - Education Unrestricted,12935419.0,2026,appropriation,line_item,belmont_fy2027_budget.pdf,20
Historical New Growth Levels by Property Type ($ millions),,Chapter 70 - Education Unrestricted,13525359.0,2027,request,line_item,belmont_fy2027_budget.pdf,20
Historical New Growth Levels by Property Type ($ millions),,Chapter 70 - Education Unrestricted,13275169.0,2027,request,line_item,belmont_fy2027_budget.pdf,20
Historical New Growth Levels by Property Type ($ millions),,Reimburse - Charter Sch./Voc. Transport,58957.0,2024,actual,line_item,belmont_fy2027_budget.pdf,20
