department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Education (LPS and Minuteman HS),155825094.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Shared Expenses (1),82329423.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Municipal Departments,52995295.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Cash Capital,17838612.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Other,12545852.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total - General Fund,321534276.0,2027,recommended,total,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Projected Revenue,321534276.0,2027,recommended,line_item,lexington_fy2027_budget.pdf,8
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Property Tax Revenue,258361669.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,State Aid,22052903.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total Local Receipts,18821440.0,2027,projected,total,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Available Funds,22611780.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Revenue Offsets,-2360640.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Enterprise Receipts,2047125.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Gross General Fund Revenues,321534276.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,"Less: Property Tax Levy Dedicated
to the Capital Stabilization Fund",6580908.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,"Less: Revenues Set-Aside for Other
Designated Purposes",23535746.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Net General Fund Revenues,291417623.0,2027,projected,line_item,lexington_fy2027_budget.pdf,12
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Electricity,2948832.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Electricity,3295422.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Electricity,3741614.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Heating Oil,1217.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Heating Oil,2123.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Heating Oil,4200.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Natural Gas,795179.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Natural Gas,837980.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Natural Gas,915501.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Diesel/Gasoline,313152.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Diesel/Gasoline,388440.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Diesel/Gasoline,478081.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total,4058381.0,2024,actual,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total,4523965.0,2025,actual,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total,5139396.0,2026,estimate,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Revenue,823246.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Revenue,920511.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Revenue,830000.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell PILOT*,55400.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell PILOT*,55400.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell PILOT*,55400.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Annual Lease,1000.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Annual Lease,1000.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Annual Lease,1000.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Net Revenue subtotal,879646.0,2024,actual,subtotal,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Net Revenue subtotal,976911.0,2025,actual,subtotal,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Net Revenue subtotal,886400.0,2026,estimate,subtotal,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Payments,-351503.0,2024,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Payments,-364281.0,2025,actual,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Hartwell Solar Payments,-390000.0,2026,estimate,line_item,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total Net Revenue,528143.0,2024,actual,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total Net Revenue,612630.0,2025,actual,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,Total Net Revenue,496400.0,2026,estimate,total,lexington_fy2027_budget.pdf,15
FISCAL YEAR 2027 RECOMMENDED BUDGET AND FINANCING PLAN,,"General Fund1, 2",6557717.0,2024,actual,line_item,lexington_fy2027_budget.pdf,20
