department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
TOWN OF WESTON,,Insurance,315846.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Insurance,307139.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Insurance,309948.0,2024,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Insurance,258603.0,2025,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Insurance,333772.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Fringe Benefits,11369045.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Fringe Benefits,11600107.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Fringe Benefits,10652563.0,2024,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Fringe Benefits,12827589.0,2025,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Fringe Benefits,14186141.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Reserve Fund,731883.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Debt Service (non-excluded),2728.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Debt Service (non-excluded),4890.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Debt Service (non-excluded),2814.0,2024,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Debt Service (non-excluded),4650.0,2025,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Debt Service (non-excluded),6000.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,TOTAL UNCLASSIFIED,18180674.0,2022,actual,total,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,TOTAL UNCLASSIFIED,18877412.0,2023,actual,total,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,TOTAL UNCLASSIFIED,18730659.0,2024,actual,total,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,TOTAL UNCLASSIFIED,21043822.0,2025,actual,total,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,TOTAL UNCLASSIFIED,24323054.0,2026,budget,total,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Town Manager's Office,546330.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Town Manager's Office,572104.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Town Manager's Office,575629.0,2024,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Town Manager's Office,618147.0,2025,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Town Manager's Office,661705.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Salary Reserve (to be distributed) and Merit Pay (transfer account),8996.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Salary Reserve (to be distributed) and Merit Pay (transfer account),10245.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Salary Reserve (to be distributed) and Merit Pay (transfer account),9186.0,2024,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Salary Reserve (to be distributed) and Merit Pay (transfer account),1900.0,2025,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Salary Reserve (to be distributed) and Merit Pay (transfer account),351661.0,2026,budget,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Legal,256996.0,2022,actual,line_item,weston_fy2027_budget.pdf,1
TOWN OF WESTON,,Legal,275457.0,2023,actual,line_item,weston_fy2027_budget.pdf,1
