department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
GENERAL GOVERNMENT,,1210Town Manager,1115709.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1210Town Manager,1044055.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1210Town Manager,1092897.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1210Town Manager,1092837.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1210Town Manager,1092837.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1210Town Manager,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,5000.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,2979.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,3000.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,3000.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,3000.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1310Finance Committee,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,592315.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,573413.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,609403.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,628066.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,628066.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1330Comptroller,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,437679.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,405732.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,435500.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,423762.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,423762.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1340Assessor's,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,554564.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,528184.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,586937.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,610676.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,610676.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1350Treasurer/Collector,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,98000.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,97750.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,90000.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,102000.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,102000.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1360Audit,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,688314.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,625163.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,689542.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,572351.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,700829.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1412Engineering,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,576981.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,569082.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,649053.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,759999.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,679999.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1413Building,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,101006.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,98511.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,103507.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,197537.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,110787.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1415Conservation,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,244624.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,211804.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,241962.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,252855.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,252855.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1420Planning Board,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,500000.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,423085.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,500000.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,500000.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,500000.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1510Legal,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,276333.0,2025,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,266760.0,2025,actual,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,285216.0,2026,budget,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,322502.0,2027,request,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,291167.0,2027,manager,line_item,winchester_fy2027_budget.pdf,11
GENERAL GOVERNMENT,,1520Human Resources/ADA,0.0,2027,fincom,line_item,winchester_fy2027_budget.pdf,11
