department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
GENERAL GOVERNMENT,,1210Town Manager,1028642.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1210Town Manager,966521.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1210Town Manager,1065998.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1210Town Manager,1076747.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1210Town Manager,1076747.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1210Town Manager,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,8306.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,6310.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,5000.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,3000.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,3000.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1310Finance Committee,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,563432.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,553569.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,592315.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,599553.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,599553.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1330Comptroller,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,395695.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,366055.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,437679.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,432050.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,432050.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1340Assessor's,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,564937.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,493981.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,554564.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,578737.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,578737.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1350Treasurer/Collector,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,86000.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,86000.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,98000.0,2025,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,90000.0,2026,request,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,90000.0,2026,manager,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1360Audit,0.0,2026,fincom,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1412Engineering,668346.0,2024,budget,line_item,winchester_fy2026_budget_old.pdf,12
GENERAL GOVERNMENT,,1412Engineering,621744.0,2024,actual,line_item,winchester_fy2026_budget_old.pdf,12
